dct17004|submitted_for_settlement|sale|USD|5.50|self||||||||||M|I|M||L7J23Z|1000|Approved|||||false|||false||||credit_card|||||||||||||||||||||||94107|||||||||||||||||||510510|5100|MasterCard|12|2020|US||https://assets.braintreegateway.com/payment_method_logo/mastercard.png?environment=sandbox|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown||false|510510******5100|12/2020||||||||||||2018-01-31 18:28:34|2018-01-31 18:28:34
hcxqjr2z|submitted_for_settlement|sale|USD|5.50|self||||||||||M|I|M||DNGFS2|1000|Approved|||||false|||false||||credit_card|||||||||||||||||||||||94107|||||||||||||||||||378282|0005|American Express|12|2020|US||https://assets.braintreegateway.com/payment_method_logo/american_express.png?environment=sandbox|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown||false|378282******0005|12/2020||||||||||||2018-01-31 18:28:34|2018-01-31 18:28:34
gk9sgcw0|submitted_for_settlement|sale|USD|1.00|self||||||||||M|I|M||P0NSVW|1000|Approved|||||false|||false||||credit_card|||||||||||||||||||||||94107|||||||||||||||||||601111|1117|Discover|12|2020|US||https://assets.braintreegateway.com/payment_method_logo/discover.png?environment=sandbox|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown||false|601111******1117|12/2020||||||||||||2018-01-31 18:28:34|2018-01-31 18:28:34
3sarascg|submitted_for_settlement|sale|USD|500.12|self||||||||||M|I|M||PVWB91|1000|Approved|||||false|||false||||credit_card|||||||||||||||||||||||94107|||||||||||||||||||400011|1511|Visa|12|2020|US||https://assets.braintreegateway.com/payment_method_logo/visa.png?environment=sandbox|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown||false|400011******1511|12/2020||||||||||||2018-01-31 18:28:34|2018-01-31 18:28:34
cw00d1vy|gateway_rejected|sale|USD|1.00|self|||||||||||||duplicate|||Unknown ()|||||false|||false||||credit_card|||||||||||||||||||||||94107|||||||||||||||||||601111|1117|Discover|12|2020|US||https://assets.braintreegateway.com/payment_method_logo/discover.png?environment=sandbox|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown||false|601111******1117|12/2020||||||||||||2018-01-31 18:00:07|2018-01-31 18:00:07
gw3prsys|gateway_rejected|sale|USD|100.00|self|||||||||||||duplicate|||Unknown ()|||||false|||false||||credit_card||||||||||||||||||||||||||||||||||||||||||401288|1881|Visa|12|2020|US||https://assets.braintreegateway.com/payment_method_logo/visa.png?environment=sandbox|No|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown||Unknown||false|401288******1881|12/2020||||||||||||2018-01-31 18:00:07|2018-01-31 18:00:07
5d6188km|gateway_rejected|sale|USD|5.00|self|||||||||||||duplicate|||Unknown ()|||||false|||false||||credit_card|||||||||||||||||||||||94107|||||||||||||||||||401288|1881|Visa|12|2020|US||https://assets.braintreegateway.com/payment_method_logo/visa.png?environment=sandbox|No|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown||Unknown||false|401288******1881|12/2020||||||||||||2018-01-31 18:00:07|2018-01-31 18:00:07
g2frpeqt|gateway_rejected|sale|USD|5.50|self|||||||||||||duplicate|||Unknown ()|||||false|||false||||credit_card|||||||||||||||||||||||94107|||||||||||||||||||510510|5100|MasterCard|12|2020|US||https://assets.braintreegateway.com/payment_method_logo/mastercard.png?environment=sandbox|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown||false|510510******5100|12/2020||||||||||||2018-01-31 18:00:07|2018-01-31 18:00:07
5nchqwx7|gateway_rejected|sale|USD|5.00|self|||||||||||||duplicate|||Unknown ()|||||false|||false||||credit_card|||||||||||||||||||||||94107|||||||||||||||||||400011|1115|Visa|12|2020|US||https://assets.braintreegateway.com/payment_method_logo/visa.png?environment=sandbox|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown||false|400011******1115|12/2020||||||||||||2018-01-31 18:00:07|2018-01-31 18:00:07
8mtprjy8|gateway_rejected|sale|USD|5.50|self|||||||||||||duplicate|||Unknown ()|||||false|||false||||credit_card|||||||||||||||||||||||94107|||||||||||||||||||378282|0005|American Express|12|2020|US||https://assets.braintreegateway.com/payment_method_logo/american_express.png?environment=sandbox|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown|Unknown||false|378282******0005|12/2020||||||||||||2018-01-31 18:00:07|2018-01-31 18:00:07
